hash;data_de_cadastro;canal_de_atendimento;denuncia_emergencial;denunciante;cenario_da_violacao;pais;uf;municipio;frequencia;inicio_das_violacoes;sl_quantidade_vitimas;grupo_vulneravel;motivacao;relacao_vitima_suspeito;sl_vitima_cadastro;genero_da_vitima;orientacao_sexual_da_vitima;faixa_etaria_da_vitima;nacionalidade_da_vitima;sl_vitima_naturalidade;sl_vitima_naturalizado_uf;sl_vitima_naturalizado_municipio;deficiencia_da_vitima;doenca_rara_da_vitima;deficiencia_relacionada_a_doenca_rara;vitima_preso_a;pais_da_vitima;uf_da_vitima;municipio_da_vitima;profissao_da_vitima;grau_de_instrucao_da_vitima;religiao_da_vitima;raca_cor_da_vitima;etnia_da_vitima;faixa_de_renda_da_vitima;natureza_juridica_do_suspeito;genero_do_suspeito;orientacao_sexual_do_suspeito;faixa_etaria_do_suspeito;suspeito_nacionalidade;sl_suspeito_naturalidade;sl_suspeito_naturalizado_uf;sl_suspeito_naturalizado_municipio;deficiencia_do_suspeito;doenca_rara_do_suspeito;deficiencia_relacionada_a_doenca_rara_suspeito;suspeito_preso;pais_do_suspeito;uf_do_suspeito;sl_suspeito_municipio;profissao_do_suspeito;grau_de_instrucao_do_suspeito;religiao_do_suspeito;raca_cor_do_suspeito;suspeito_etnia;faixa_de_renda_do_suspeito;vinculo_orgao_pj_do_suspeito;sl_suspeito_ramo;suspeito_especificacao_etnia;vitima_especificacao_etnia;violacao
a389d4a9fa05f1b86cf13dff9665af6e;04/01/2022 12:34;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;GO;GOIÂNIA;MENSALMENTE;HÁ MAIS DE DEZ ANOS;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;OUTROS;PESSOA FÍSICA;FEMININO;N/D;12 A 14 ANOS;BOLÍVIA;;;;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;GO;GOIÂNIA;N/D;ANALFABETO;N/D;PARDA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;60 A 64 ANOS;BRASIL;NATO;GO;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;GO;GOIÂNIA;PSICÓLOGO CLÍNICO;SUPERIOR COMPLETO;N/D;PARDA;N/D;5 A 15 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
59084bf46847d20235f37dde6d8be432;05/01/2022 00:22;TELEFÔNICO;SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA;ANÔNIMO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;GO;GOIÂNIA;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;OUTROS;PESSOA FÍSICA;FEMININO;N/D;12 A 14 ANOS;BRASIL;NATO;GO;GOIÂNIA;N/D;NÃO TEM DOENÇA RARA;;NÃO;BRASIL;GO;GOIÂNIA;N/D;N/D;N/D;PARDA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;60 A 64 ANOS;BRASIL;NATO;GO;GOIÂNIA;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;BRASIL;GO;GOIÂNIA;N/D;ENSINO MÉDIO COMPLETO;N/D;PARDA;N/D;1 A 3 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
421e9528b782ae18d2940581b3f8213e;12/01/2022 09:57;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;RJ;RIO DE JANEIRO;DIARIAMENTE;HÁ MAIS DE SEIS MESES;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS;OUTROS;PESSOA FÍSICA;N/D;N/D;VIDA INTRAUTERINA;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;N/D;BRASIL;RJ;RIO DE JANEIRO;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;40 A 44 ANOS;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;RJ;RIO DE JANEIRO;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
3a4874f643e06772be4096ba3924feeb;08/01/2022 12:11;TELEFÔNICO;NÃO;TERCEIRO;CASA DO SUSPEITO;BRASIL;DF;BRASÍLIA;ÚNICA OCORRÊNCIA;NÃO SE APLICA;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;OUTROS;PESSOA FÍSICA;FEMININO;N/D;00 A 01 ANO;BRASIL;NATO;GO;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;DF;BRASÍLIA;N/D;N/D;N/D;PARDA;N/D;N/D;PESSOA FÍSICA;FEMININO;HOMOSSEXUAL;55 A 59 ANOS;BRASIL;NATO;MG;BELO HORIZONTE;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;DF;BRASÍLIA;PUBLICITÁRIO;SUPERIOR COMPLETO;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
1ae27c042a86635b27f7978fec9329ef;07/01/2022 02:22;TELEFÔNICO;NÃO;ANÔNIMO;VIA PÚBLICA;BRASIL;RJ;RIO DE JANEIRO;SEMANALMENTE;HÁ MAIS DE SEIS MESES;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;DESCONHECIDO(A);PESSOA FÍSICA;FEMININO;N/D;07 A 09 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO;N/D;BRASIL;RJ;RIO DE JANEIRO;N/D;N/D;N/D;BRANCA;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;45 A 49 ANOS;BRASIL;;;;N/D;NÃO TEM DOENÇA RARA;NÃO;N/D;BRASIL;RJ;IGUABA GRANDE;N/D;ENSINO MÉDIO INCOMPLETO;N/D;BRANCA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
1a99e7f1693837bd3e8117adf831530d;11/01/2022 11:30;TELEFÔNICO;RISCO IMINENTE DE MORTE DA VÍTIMA;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;RJ;PATY DO ALFERES;DIARIAMENTE;HÁ MAIS DE UM ANO;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;N/D;DESCONHECIDO(A);PESSOA FÍSICA;FEMININO;N/D;02 A 04 ANOS;BRASIL;NATO;RJ;RIO DE JANEIRO;N/D;NÃO TEM DOENÇA RARA;;N/D;BRASIL;RJ;PATY DO ALFERES;N/D;N/D;SEM RELIGIÃO;BRANCA;N/D;N/D;PESSOA FÍSICA;FEMININO;N/D;50 A 54 ANOS;BRASIL;NATO;DENUNCIANTE NÃO SOUBE INFORMAR;;N/D;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;N/D;BRASIL;RJ;PATY DO ALFERES;N/D;N/D;N/D;PARDA;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
293ce7c61f4d88190e553b0acef8ae6e;17/01/2022 10:44;TELEFÔNICO;NÃO;TERCEIRO;CASA DO SUSPEITO;BRASIL;MG;ITAIPÉ;DIARIAMENTE;HÁ UM MÊS;30;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;PARA OBTENÇÃO DE BENEFÍCIO FINANCEIRO/ GANÂNCIA;DESCONHECIDO(A);PESSOA FÍSICA;FEMININO;N/D;;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;N/D;BRASIL;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;N/D;ENSINO MÉDIO COMPLETO;CATÓLICA APOSTÓLICA ROMANA;BRANCA;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;35 A 39 ANOS;BRASIL;NATO;MG;BELO HORIZONTE;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;TEMPORÁRIA;BRASIL;MG;ITAIPÉ;N/D;N/D;CATÓLICA APOSTÓLICA ROMANA;BRANCA;N/D;ACIMA DE 15 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
293ce7c61f4d88190e553b0acef8ae6e;17/01/2022 10:44;TELEFÔNICO;NÃO;TERCEIRO;CASA DO SUSPEITO;BRASIL;MG;ITAIPÉ;DIARIAMENTE;HÁ UM MÊS;30;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PARA OBTENÇÃO DE BENEFÍCIO FINANCEIRO/ GANÂNCIA;DESCONHECIDO(A);PESSOA FÍSICA;FEMININO;BISSEXUAL;;BRASIL;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;N/D;BRASIL;DENUNCIANTE NÃO SOUBE INFORMAR;N/D;N/D;N/D;N/D;N/D;N/D;N/D;PESSOA FÍSICA;MASCULINO;N/D;35 A 39 ANOS;BRASIL;NATO;MG;BELO HORIZONTE;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;TEMPORÁRIA;BRASIL;MG;ITAIPÉ;N/D;N/D;CATÓLICA APOSTÓLICA ROMANA;BRANCA;N/D;ACIMA DE 15 SM;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
cdd45523f338b12e2955bd19c049aba4;16/01/2022 17:33;TELEFÔNICO;NÃO;TERCEIRO;CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;BRASIL;CE;CRATO;OCASIONALMENTE;HÁ MAIS DE UM ANO;20;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;POR MOTIVO VIL, TORPE, INSIDIOSO, CRUEL, À TRAIÇÃO, OU POR DINHEIRO;OUTROS;FAMÍLIA;N/D;N/D;;BRASIL;;;;N/D;N/D;;N/D;BRASIL;CE;CRATO;N/D;N/D;N/D;N/D;N/D;N/D;COMUNIDADE;N/D;N/D;N/D;N/D;;;;N/D;N/D;NÃO SABE INFORMAR;N/D;BRASIL;CE;CRATO;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL
d5e8dec5645a2ef486d8acdb7b560ecf;25/01/2022 14:00;TELEFÔNICO;NÃO;TERCEIRO;AMBIENTE VIRTUAL (NO ÂMBITO DA INTERNET);BRASIL;N/D;N/D;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;10;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;POR CONDUTAS EXCESSIVAS/ DESNECESSÁRIAS/ DESACONSELHADAS;DESCONHECIDO(A);PESSOA FÍSICA;FEMININO;N/D;15 A 17 ANOS;BRASIL;NATO;GO;ANÁPOLIS;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;;N/D;BRASIL;GO;ANÁPOLIS;ESTUDANTE;ENSINO MÉDIO INCOMPLETO;CATÓLICA APOSTÓLICA ROMANA;BRANCA;N/D;ATÉ 1 SM;PESSOA FÍSICA;MASCULINO;N/D;30 A 34 ANOS;N/D;;;;NÃO TEM DEFICIÊNCIA;NÃO TEM DOENÇA RARA;NÃO SABE INFORMAR;NÃO;FRANÇA;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;;N/D;N/D;N/D;LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL
