genero_da_vitima,grupo_vulneravel,faixa_etaria_da_vitima,violacao,count
MASCULINO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,11 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,18
FEMININO,VIOLÊNCIA CONTRA A MULHER,30 A 34 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,9
FEMININO,VIOLÊNCIA CONTRA A MULHER,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL,8
FEMININO,VIOLÊNCIA CONTRA A MULHER,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,8
INTERSEXO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,8
FEMININO,VIOLÊNCIA CONTRA A MULHER,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,5
INTERSEXO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,5
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,12 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,4
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,12 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,4
FEMININO,VIOLÊNCIA CONTRA A MULHER,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,3
MASCULINO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL,3
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,3
MASCULINO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,3
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,04 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,3
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,3
MASCULINO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,35 A 39 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,3
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,10 A 11 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,2
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,10 A 11 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,2
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,2
MASCULINO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,2
MASCULINO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,05 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,2
MASCULINO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,08 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL,2
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",18 A 19 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,2
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,16 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,2
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,10 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL,2
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,10 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,2
